"Exchange","Symbol","Name","Sector","industry","MarketCap","MarketCapNum","MarketCap(B)","Summary Quote","Reporting Year","ISIN","Performance Band","Scope 1 (metric tonnes CO2e)","Scope 2 (metric tonnes CO2e)","TotalMetricTonnesCO2e","Co2eMarketCapRatio","Notes"
"NasDaq","CELG","Celgene Corporation","Health Care","Major Pharmaceuticals","$106.76B",106760000000.00,106.76,"http://www.nasdaq.com/symbol/celg",2012,"US1510201049","C",7232.00,18761.00,25993.00,0.24,"Response Status: AQ*"
"NasDaq","CELG","Celgene Corporation","Health Care","Major Pharmaceuticals","$106.76B",106760000000.00,106.76,"http://www.nasdaq.com/symbol/celg",2013,"US1510201049","C",14458.00,18420.00,32878.00,0.30,"Response Status: AQ*"
"NasDaq","COST","Costco Wholesale Corporation","Consumer Services","Department/Specialty Retail Stores","$69.89B",69890000000.00,69.89,"http://www.nasdaq.com/symbol/cost",2012,"US22160K1051","A",363805.00,1197983.00,1561788.00,22.34,"Response Status: AQ*: PB Esimated"
"NasDaq","COST","Costco Wholesale Corporation","Consumer Services","Department/Specialty Retail Stores","$69.89B",69890000000.00,69.89,"http://www.nasdaq.com/symbol/cost",2013,"US22160K1051","A",362802.00,1197983.00,1560785.00,22.33,"Response Status: AQ*: PB Estimated"
"NasDaq","CSCO","Cisco Systems, Inc.","Technology","Computer Communications Equipment","$165.74B",165740000000.00,165.74,"http://www.nasdaq.com/symbol/csco",2011,"US17275R1023","A",53363.00,597257.00,650620.00,3.92,"Response Status: AQ*"
"NasDaq","CSCO","Cisco Systems, Inc.","Technology","Computer Communications Equipment","$165.74B",165740000000.00,165.74,"http://www.nasdaq.com/symbol/csco",2012,"US17275R1023","B",60382.00,610832.00,671214.00,4.04,"Response Status: AQ*"
"NasDaq","CSCO","Cisco Systems, Inc.","Technology","Computer Communications Equipment","$165.74B",165740000000.00,165.74,"http://www.nasdaq.com/symbol/csco",2013,"US17275R1023","A",65832.00,628164.00,693996.00,4.18,"Response Status: AQ*"
"NasDaq","CSX","CSX Corporation","Transportation","Railroads","$48.25B",48250000000.00,48.25,"http://www.nasdaq.com/symbol/csx",2011,"US1264081035","A",5214546.00,260874.00,5475420.00,113.48,"Response Status: AQ*"
"NasDaq","CSX","CSX Corporation","Transportation","Railroads","$48.25B",48250000000.00,48.25,"http://www.nasdaq.com/symbol/csx",2012,"US1264081035","B",5397577.00,318864.00,5716441.00,118.47,"Response Status: AQ*"
"NasDaq","CSX","CSX Corporation","Transportation","Railroads","$48.25B",48250000000.00,48.25,"http://www.nasdaq.com/symbol/csx",2013,"US1264081035","A",5268905.00,300170.00,5569075.00,115.42,"Response Status: AQ*"
"NasDaq","CTSH","Cognizant Technology Solutions Corporation","Technology","EDP Services","$43.93B",43930000000.00,43.93,"http://www.nasdaq.com/symbol/ctsh",2011,"US1924461023","C",28647.00,147288.00,175935.00,4.00,"Response Status: AQ*"
"NasDaq","CTSH","Cognizant Technology Solutions Corporation","Technology","EDP Services","$43.93B",43930000000.00,43.93,"http://www.nasdaq.com/symbol/ctsh",2012,"US1924461023","D",27829.00,144629.00,172458.00,3.92,"Response Status: AQ*"
"NasDaq","CTSH","Cognizant Technology Solutions Corporation","Technology","EDP Services","$43.93B",43930000000.00,43.93,"http://www.nasdaq.com/symbol/ctsh",2013,"US1924461023","C",46934.00,137460.00,184394.00,4.19,"Response Status: AQ*"
"NasDaq","EBAY","eBay Inc.","Miscellaneous","Business Services","$41.05B",41050000000.00,41.05,"http://www.nasdaq.com/symbol/ebay",2011,"US2786421030","C",11462.00,196284.00,207746.00,5.06,"Response Status: AQ*"
"NasDaq","EBAY","eBay Inc.","Miscellaneous","Business Services","$41.05B",41050000000.00,41.05,"http://www.nasdaq.com/symbol/ebay",2012,"US2786421030","D",15079.00,189870.00,204949.00,4.99,"Response Status: AQ*"
"NasDaq","EBAY","eBay Inc.","Miscellaneous","Business Services","$41.05B",41050000000.00,41.05,"http://www.nasdaq.com/symbol/ebay",2013,"US2786421030","D",14374.00,225952.00,240326.00,5.85,"Response Status: AQ*"
"NasDaq","FOX","Twenty-First Century Fox, Inc.","Consumer Services","Television Services","$47.81B",47810000000.00,47.81,"http://www.nasdaq.com/symbol/fox",2012,,"B",76548.00,401005.00,477553.00,9.98,"Response Status: AQ*"
"NasDaq","FOX","Twenty-First Century Fox, Inc.","Consumer Services","Television Services","$47.81B",47810000000.00,47.81,"http://www.nasdaq.com/symbol/fox",2013,,"A",62360.00,376022.00,438382.00,9.16,"Response Status: AQ*; PB Adjusted"
"NasDaq","FOXA","Twenty-First Century Fox, Inc.","Consumer Services","Television Services","$32.38B",32380000000.00,32.38,"http://www.nasdaq.com/symbol/foxa",2011,,"A",81791.00,456473.00,538264.00,16.62,"Response Status: AQ*; PB Adjusted"
"NasDaq","GILD","Gilead Sciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$106B",106000000000.00,106.00,"http://www.nasdaq.com/symbol/gild",2011,"US3755581036","B",29725.00,37369.00,67094.00,0.63,"Response Status: AQ*"
"NasDaq","GILD","Gilead Sciences, Inc.","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","$106B",106000000000.00,106.00,"http://www.nasdaq.com/symbol/gild",2012,"US3755581036","B",30472.00,35014.00,65486.00,0.61,"Response Status: AQ*"
"NasDaq","GOOG","Alphabet Inc.","Technology","Computer Software: Programming, Data Processing","$685.73B",685730000000.00,685.73,"http://www.nasdaq.com/symbol/goog",2011,"US38259P5089","A",11126.00,1226350.00,1237476.00,1.80,"Response Status: AQ*; PB Adjusted"
"NasDaq","GOOG","Alphabet Inc.","Technology","Computer Software: Programming, Data Processing","$685.73B",685730000000.00,685.73,"http://www.nasdaq.com/symbol/goog",2012,"US38259P5089","B",29563.00,1439703.00,1469266.00,2.14,"Response Status: AQ*"
"NasDaq","GOOG","Alphabet Inc.","Technology","Computer Software: Programming, Data Processing","$685.73B",685730000000.00,685.73,"http://www.nasdaq.com/symbol/goog",2013,"US38259P5089","B",37187.00,1149988.00,1187175.00,1.73,"Response Status: AQ*"
"NasDaq","INTC","Intel Corporation","Technology","Semiconductors","$186.41B",186410000000.00,186.41,"http://www.nasdaq.com/symbol/intc",2011,"US4581401001","C",1165284.00,1712724.00,2878008.00,15.43,"Response Status: AQ*"
"NasDaq","INTC","Intel Corporation","Technology","Semiconductors","$186.41B",186410000000.00,186.41,"http://www.nasdaq.com/symbol/intc",2012,"US4581401001","A",885416.00,2214130.00,3099546.00,16.62,"Response Status: AQ*"
"NasDaq","INTC","Intel Corporation","Technology","Semiconductors","$186.41B",186410000000.00,186.41,"http://www.nasdaq.com/symbol/intc",2013,"US4581401001","B",794759.00,2331048.00,3125807.00,16.76,"Response Status: AQ*"
"NasDaq","INTU","Intuit Inc.","Technology","Computer Software: Prepackaged Software","$37.14B",37140000000.00,37.14,"http://www.nasdaq.com/symbol/intu",2012,"US4612021034","D",6769.00,39494.00,46263.00,1.24,"Response Status: AQ*"
"NasDaq","MDLZ","Mondelez International, Inc.","Consumer Non-Durables","Packaged Foods","$62.84B",62840000000.00,62.84,"http://www.nasdaq.com/symbol/mdlz",2013,,"B",1075761.00,954755.00,2030516.00,32.31,"Response Status: AQ*; PB Estimated"
"NasDaq","MSFT","Microsoft Corporation","Technology","Computer Software: Prepackaged Software","$596.85B",596850000000.00,596.85,"http://www.nasdaq.com/symbol/msft",2011,"US5949181045","B",47383.00,1144271.00,1191654.00,1.99,"Response Status: AQ*"
"NasDaq","MSFT","Microsoft Corporation","Technology","Computer Software: Prepackaged Software","$596.85B",596850000000.00,596.85,"http://www.nasdaq.com/symbol/msft",2012,"US5949181045","B",40848.00,1186492.00,1227340.00,2.05,"Response Status: AQ*"
"NasDaq","MSFT","Microsoft Corporation","Technology","Computer Software: Prepackaged Software","$596.85B",596850000000.00,596.85,"http://www.nasdaq.com/symbol/msft",2013,"US5949181045","A",48516.00,1207419.00,1255935.00,2.10,"Response Status: AQ*"
"NasDaq","NTAP","NetApp, Inc.","Technology","Electronic Components","$11.77B",11770000000.00,11.77,"http://www.nasdaq.com/symbol/ntap",2011,"US64110D1046","E",8082.00,88238.00,96320.00,8.18,"Response Status: AQ*"
"NasDaq","QCOM","QUALCOMM Incorporated","Technology","Radio And Television Broadcasting And Communications Equipment","$77.97B",77970000000.00,77.97,"http://www.nasdaq.com/symbol/qcom",2011,"US7475251036","C",57713.00,39824.00,97537.00,1.25,"Response Status: AQ*"
"NasDaq","QCOM","QUALCOMM Incorporated","Technology","Radio And Television Broadcasting And Communications Equipment","$77.97B",77970000000.00,77.97,"http://www.nasdaq.com/symbol/qcom",2012,"US7475251036","D",63300.30,50614.80,113915.10,1.46,"Response Status: AQ*"
"NasDaq","QCOM","QUALCOMM Incorporated","Technology","Radio And Television Broadcasting And Communications Equipment","$77.97B",77970000000.00,77.97,"http://www.nasdaq.com/symbol/qcom",2013,"US7475251036","D",64782.00,49216.00,113998.00,1.46,"Response Status: AQ*"
"NasDaq","SBUX","Starbucks Corporation","Consumer Services","Restaurants","$80.45B",80450000000.00,80.45,"http://www.nasdaq.com/symbol/sbux",2011,"US8552441094","C",209828.00,804277.00,1014105.00,12.60,"Response Status: AQ*"
"NasDaq","SBUX","Starbucks Corporation","Consumer Services","Restaurants","$80.45B",80450000000.00,80.45,"http://www.nasdaq.com/symbol/sbux",2012,"US8552441094","B",228505.00,751457.00,979962.00,12.18,"Response Status: AQ*"
"NasDaq","SBUX","Starbucks Corporation","Consumer Services","Restaurants","$80.45B",80450000000.00,80.45,"http://www.nasdaq.com/symbol/sbux",2013,"US8552441094","C",239972.00,792644.00,1032616.00,12.83,"Response Status: AQ*"
"NasDaq","TXN","Texas Instruments Incorporated","Technology","Semiconductors","$92.66B",92660000000.00,92.66,"http://www.nasdaq.com/symbol/txn",2011,"US8825081040","E",831460.00,1125452.00,1956912.00,21.11,"Response Status: AQ*"
"NasDaq","TXN","Texas Instruments Incorporated","Technology","Semiconductors","$92.66B",92660000000.00,92.66,"http://www.nasdaq.com/symbol/txn",2012,"US8825081040","D",897759.00,1481735.00,2379494.00,25.67,"Response Status: AQ*"
"NasDaq","TXN","Texas Instruments Incorporated","Technology","Semiconductors","$92.66B",92660000000.00,92.66,"http://www.nasdaq.com/symbol/txn",2013,"US8825081040","D",827274.44,1588465.81,2415740.25,26.07,"Response Status: AQ*"
"NYSE","ABT","Abbott Laboratories","Health Care","Major Pharmaceuticals","$94.95B",94950000000.00,94.95,"http://www.nasdaq.com/symbol/abt",2011,"US0028241000","C",838000.00,771000.00,1609000.00,16.94,"Response Status: AQ*"
"NYSE","ABT","Abbott Laboratories","Health Care","Major Pharmaceuticals","$94.95B",94950000000.00,94.95,"http://www.nasdaq.com/symbol/abt",2012,"US0028241000","B",834000.00,822000.00,1656000.00,17.44,"Response Status: AQ*"
"NYSE","ABT","Abbott Laboratories","Health Care","Major Pharmaceuticals","$94.95B",94950000000.00,94.95,"http://www.nasdaq.com/symbol/abt",2013,"US0028241000","B",470781.00,537821.00,1008602.00,10.62,"Response Status: AQ*"
"NYSE","AEP","American Electric Power Company, Inc.","Public Utilities","Electric Utilities: Central","$35.98B",35980000000.00,35.98,"http://www.nasdaq.com/symbol/aep",2011,"US0255371017","C",138294800.00,,138294800.00,3843.65,"Response Status: AQ*"
"NYSE","AEP","American Electric Power Company, Inc.","Public Utilities","Electric Utilities: Central","$35.98B",35980000000.00,35.98,"http://www.nasdaq.com/symbol/aep",2012,"US0255371017","C",135671200.00,,135671200.00,3770.73,"Response Status: AQ*"
"NYSE","AEP","American Electric Power Company, Inc.","Public Utilities","Electric Utilities: Central","$35.98B",35980000000.00,35.98,"http://www.nasdaq.com/symbol/aep",2013,"US0255371017","D",121927400.00,,121927400.00,3388.75,"Response Status: AQ*"
"NYSE","AET","Aetna Inc.","Health Care","Medical Specialities","$50.83B",50830000000.00,50.83,"http://www.nasdaq.com/symbol/aet",2012,"US00817Y1082","C",7178.00,54375.00,61553.00,1.21,"Response Status: AQ*; PB Estimated"
"NYSE","AFL","Aflac Incorporated","Finance","Accident &Health Insurance","$33.2B",33200000000.00,33.20,"http://www.nasdaq.com/symbol/afl",2011,"US0010551028","E",4352.00,23369.00,27721.00,0.83,"Response Status: AQ*"
"NYSE","AFL","Aflac Incorporated","Finance","Accident &Health Insurance","$33.2B",33200000000.00,33.20,"http://www.nasdaq.com/symbol/afl",2012,"US0010551028","B",4585.00,21188.00,25773.00,0.77,"Response Status: AQ*"
"NYSE","AFL","Aflac Incorporated","Finance","Accident &Health Insurance","$33.2B",33200000000.00,33.20,"http://www.nasdaq.com/symbol/afl",2013,"US0010551028","B",3884.00,18536.00,22420.00,0.67,"Response Status: AQ*"
"NYSE","AGN","Allergan plc.","Health Care","Major Pharmaceuticals","$68.71B",68710000000.00,68.71,"http://www.nasdaq.com/symbol/agn",2011,"US0184901025","B",42674.00,52625.00,95299.00,1.38,"Response Status: AQ*"
"NYSE","AGN","Allergan plc.","Health Care","Major Pharmaceuticals","$68.71B",68710000000.00,68.71,"http://www.nasdaq.com/symbol/agn",2012,"US0184901025","A",45309.00,51744.00,97053.00,1.41,"Response Status: AQ*"
"NYSE","AGN","Allergan plc.","Health Care","Major Pharmaceuticals","$68.71B",68710000000.00,68.71,"http://www.nasdaq.com/symbol/agn",2013,"US0184901025","B",49128.00,52049.00,101177.00,1.47,"Response Status: AQ*"
"NYSE","ALL","Allstate Corporation (The)","Finance","Property-Casualty Insurers","$33.37B",33370000000.00,33.37,"http://www.nasdaq.com/symbol/all",2011,"US0200021014","C",35504.00,183474.00,218978.00,6.56,"Response Status: AQ*"
"NYSE","ALL","Allstate Corporation (The)","Finance","Property-Casualty Insurers","$33.37B",33370000000.00,33.37,"http://www.nasdaq.com/symbol/all",2013,"US0200021014","B",40796.00,150401.00,191197.00,5.72,"Response Status: AQ*"
"NYSE","AMT","American Tower Corporation (REIT)","Consumer Services","Real Estate Investment Trusts","$60.07B",60070000000.00,60.07,"http://www.nasdaq.com/symbol/amt",2011,"US03027X1000","C",5819.79,138559.55,144379.34,2.40,"Response Status: AQ*"
"NYSE","APA","Apache Corporation","Energy","Oil & Gas Production","$15.85B",15850000000.00,15.85,"http://www.nasdaq.com/symbol/apa",2011,"US0374111054","D",9860000.00,1040000.00,10900000.00,687.69,"Response Status: AQ*"
"NYSE","APA","Apache Corporation","Energy","Oil & Gas Production","$15.85B",15850000000.00,15.85,"http://www.nasdaq.com/symbol/apa",2012,"US0374111054","D",11760000.00,1340000.00,13100000.00,826.49,"Response Status: AQ*"
"NYSE","APA","Apache Corporation","Energy","Oil & Gas Production","$15.85B",15850000000.00,15.85,"http://www.nasdaq.com/symbol/apa",2013,"US0374111054","C",10766000.00,1314000.00,12080000.00,762.14,"Response Status: AQ*"
"NYSE","APC","Anadarko Petroleum Corporation","Energy","Oil & Gas Production","$26.78B",26780000000.00,26.78,"http://www.nasdaq.com/symbol/apc",2011,"US0325111070","B",7872285.00,898589.00,8770874.00,327.51,"Response Status: AQ*"
"NYSE","APC","Anadarko Petroleum Corporation","Energy","Oil & Gas Production","$26.78B",26780000000.00,26.78,"http://www.nasdaq.com/symbol/apc",2012,"US0325111070","D",2371282.00,,2371282.00,88.54,"Response Status: AQ*"
"NYSE","APC","Anadarko Petroleum Corporation","Energy","Oil & Gas Production","$26.78B",26780000000.00,26.78,"http://www.nasdaq.com/symbol/apc",2013,"US0325111070","C",5056818.00,535843.00,5592661.00,208.83,"Response Status: AQ*"
"NYSE","APD","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals","$33.45B",33450000000.00,33.45,"http://www.nasdaq.com/symbol/apd",2011,"US0091581068","A",14366791.00,9324484.00,23691275.00,708.25,"Response Status: AQ*"
"NYSE","APD","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals","$33.45B",33450000000.00,33.45,"http://www.nasdaq.com/symbol/apd",2012,"US0091581068","B",14440000.00,9878817.00,24318817.00,727.01,"Response Status: AQ*"
"NYSE","APD","Air Products and Chemicals, Inc.","Basic Industries","Major Chemicals","$33.45B",33450000000.00,33.45,"http://www.nasdaq.com/symbol/apd",2013,"US0091581068","B",14767209.00,10563030.00,25330239.00,757.25,"Response Status: AQ*"
"NYSE","AXP","American Express Company","Finance","Finance: Consumer Services","$82.09B",82090000000.00,82.09,"http://www.nasdaq.com/symbol/axp",2011,"US0258161092","C",32504.01,189346.55,221850.56,2.70,"Response Status: AQ*"
"NYSE","AXP","American Express Company","Finance","Finance: Consumer Services","$82.09B",82090000000.00,82.09,"http://www.nasdaq.com/symbol/axp",2012,"US0258161092","B",35313.09,195839.50,231152.59,2.81,"Response Status: AQ*"
"NYSE","AXP","American Express Company","Finance","Finance: Consumer Services","$82.09B",82090000000.00,82.09,"http://www.nasdaq.com/symbol/axp",2013,"US0258161092","C",23371.00,142667.00,166038.00,2.02,"Response Status: AQ*"
"NYSE","BA","Boeing Company (The)","Capital Goods","Aerospace","$154.12B",154120000000.00,154.12,"http://www.nasdaq.com/symbol/ba",2011,"US0970231058","B",595000.00,1122000.00,1717000.00,11.14,"Response Status: AQ*"
"NYSE","BA","Boeing Company (The)","Capital Goods","Aerospace","$154.12B",154120000000.00,154.12,"http://www.nasdaq.com/symbol/ba",2012,"US0970231058","B",718000.00,1075000.00,1793000.00,11.63,"Response Status: AQ*"
"NYSE","BA","Boeing Company (The)","Capital Goods","Aerospace","$154.12B",154120000000.00,154.12,"http://www.nasdaq.com/symbol/ba",2013,"US0970231058","A",576000.00,998000.00,1574000.00,10.21,"Response Status: AQ*; PB Adjusted"
"NYSE","BAC","Bank of America Corporation","Finance","Major Banks","$272.52B",272520000000.00,272.52,"http://www.nasdaq.com/symbol/bac",2011,"US0605051046","A",119760.00,1752453.00,1872213.00,6.87,"Response Status: AQ*"
"NYSE","BAC","Bank of America Corporation","Finance","Major Banks","$272.52B",272520000000.00,272.52,"http://www.nasdaq.com/symbol/bac",2012,"US0605051046","A",110005.00,1599885.00,1709890.00,6.27,"Response Status: AQ*"
"NYSE","BAC","Bank of America Corporation","Finance","Major Banks","$272.52B",272520000000.00,272.52,"http://www.nasdaq.com/symbol/bac",2013,"US0605051046","A",116666.00,1421829.00,1538495.00,5.64,"Response Status: AQ*"
"NYSE","BAX","Baxter International Inc.","Health Care","Medical/Dental Instruments","$34.23B",34230000000.00,34.23,"http://www.nasdaq.com/symbol/bax",2011,"US0718131099","C",339720.00,461280.00,801000.00,23.40,"Response Status: AQ*"
"NYSE","BAX","Baxter International Inc.","Health Care","Medical/Dental Instruments","$34.23B",34230000000.00,34.23,"http://www.nasdaq.com/symbol/bax",2012,"US0718131099","C",336000.00,458000.00,794000.00,23.19,"Response Status: AQ*"
"NYSE","BAX","Baxter International Inc.","Health Care","Medical/Dental Instruments","$34.23B",34230000000.00,34.23,"http://www.nasdaq.com/symbol/bax",2013,"US0718131099","B",345000.00,445000.00,790000.00,23.07,"Response Status: AQ*"
"NYSE","BBT","BB&T Corporation","Finance","Major Banks","$37.74B",37740000000.00,37.74,"http://www.nasdaq.com/symbol/bbt",2011,"US0549371070","E",1643.00,170423.00,172066.00,4.55,"Response Status: AQ*"
"NYSE","BBY","Best Buy Co., Inc.","Consumer Services","Consumer Electronics/Video Chains","$16.49B",16490000000.00,16.49,"http://www.nasdaq.com/symbol/bby",2011,"US0865161014","B",236170.00,704526.00,940696.00,57.04,"Response Status: AQ*"
"NYSE","BDX","Becton, Dickinson and Company","Health Care","Medical/Dental Instruments","$45.84B",45840000000.00,45.84,"http://www.nasdaq.com/symbol/bdx",2011,"US0758871091","D",61975.00,468149.00,530124.00,11.56,"Response Status: AQ*; PB Estimated"
"NYSE","BDX","Becton, Dickinson and Company","Health Care","Medical/Dental Instruments","$45.84B",45840000000.00,45.84,"http://www.nasdaq.com/symbol/bdx",2012,"US0758871091","D",79454.00,447426.00,526880.00,11.49,"Response Status: AQ*"
"NYSE","BEN","Franklin Resources, Inc.","Finance","Investment Managers","$24.9B",24900000000.00,24.90,"http://www.nasdaq.com/symbol/ben",2011,"US3546131018","D",10362.00,29587.00,39949.00,1.60,"Response Status: AQ*"
"NYSE","BEN","Franklin Resources, Inc.","Finance","Investment Managers","$24.9B",24900000000.00,24.90,"http://www.nasdaq.com/symbol/ben",2012,"US3546131018","C",9018.00,31360.00,40378.00,1.62,"Response Status: AQ*"
"NYSE","BEN","Franklin Resources, Inc.","Finance","Investment Managers","$24.9B",24900000000.00,24.90,"http://www.nasdaq.com/symbol/ben",2013,"US3546131018","C",8175.00,29552.00,37727.00,1.51,"Response Status: AQ*"
"NYSE","BK","Bank Of New York Mellon Corporation (The)","Finance","Major Banks","$56.48B",56480000000.00,56.48,"http://www.nasdaq.com/symbol/bk",2011,"US0640581007","B",9474.00,202096.00,211570.00,3.74,"Response Status: AQ*"
"NYSE","BK","Bank Of New York Mellon Corporation (The)","Finance","Major Banks","$56.48B",56480000000.00,56.48,"http://www.nasdaq.com/symbol/bk",2012,"US0640581007","B",9490.00,230078.00,239568.00,4.24,"Response Status: AQ*"
"NYSE","BK","Bank Of New York Mellon Corporation (The)","Finance","Major Banks","$56.48B",56480000000.00,56.48,"http://www.nasdaq.com/symbol/bk",2013,"US0640581007","A",9513.00,208926.00,218439.00,3.86,"Response Status: AQ*"
"NYSE","BMY","Bristol-Myers Squibb Company","Health Care","Major Pharmaceuticals","$107.07B",107070000000.00,107.07,"http://www.nasdaq.com/symbol/bmy",2011,"US1101221083","D",253398.00,270791.00,524189.00,4.89,"Response Status: AQ*"
"NYSE","BMY","Bristol-Myers Squibb Company","Health Care","Major Pharmaceuticals","$107.07B",107070000000.00,107.07,"http://www.nasdaq.com/symbol/bmy",2012,"US1101221083","B",279981.00,266968.00,546949.00,5.10,"Response Status: AQ*"
"NYSE","BMY","Bristol-Myers Squibb Company","Health Care","Major Pharmaceuticals","$107.07B",107070000000.00,107.07,"http://www.nasdaq.com/symbol/bmy",2013,"US1101221083","B",269734.00,262565.00,532299.00,4.97,"Response Status: AQ*"
"NYSE","C","Citigroup Inc.","Finance","Major Banks","$190.66B",190660000000.00,190.66,"http://www.nasdaq.com/symbol/c",2011,"US1729674242","B",43116.32,1141732.45,1184848.77,6.21,"Response Status: AQ*"
"NYSE","C","Citigroup Inc.","Finance","Major Banks","$190.66B",190660000000.00,190.66,"http://www.nasdaq.com/symbol/c",2012,"US1729674242","B",36750.52,1039178.20,1075928.72,5.64,"Response Status: AQ*"
"NYSE","C","Citigroup Inc.","Finance","Major Banks","$190.66B",190660000000.00,190.66,"http://www.nasdaq.com/symbol/c",2013,"US1729674242","B",35569.83,993687.28,1029257.11,5.39,"Response Status: AQ*"
"NYSE","CAT","Caterpillar, Inc.","Capital Goods","Construction/Ag Equipment/Trucks","$77.25B",77250000000.00,77.25,"http://www.nasdaq.com/symbol/cat",2011,"US1491231015","D",831000.00,1820000.00,2651000.00,34.31,"Response Status: AQ*"
"NYSE","CB","D/B/A Chubb Limited New","Finance","Property-Casualty Insurers","$69.27B",69270000000.00,69.27,"http://www.nasdaq.com/symbol/cb",2011,"US1712321017","D",,14216.00,14216.00,0.20,"Response Status: AQ*; ; PB Estimated"
"NYSE","CB","D/B/A Chubb Limited New","Finance","Property-Casualty Insurers","$69.27B",69270000000.00,69.27,"http://www.nasdaq.com/symbol/cb",2012,"US1712321017","D",1767.00,13500.00,15267.00,0.22,"Response Status: AQ*"
"NYSE","CB","D/B/A Chubb Limited New","Finance","Property-Casualty Insurers","$69.27B",69270000000.00,69.27,"http://www.nasdaq.com/symbol/cb",2013,"US1712321017","D",1129.00,10133.00,11262.00,0.16,"Response Status: AQ*"
"NYSE","CL","Colgate-Palmolive Company","Consumer Non-Durables","Package Goods/Cosmetics","$66.94B",66940000000.00,66.94,"http://www.nasdaq.com/symbol/cl",2011,"US1941621039","B",267077.00,425207.00,692284.00,10.34,"Response Status: AQ*; PB Estimated"
"NYSE","CL","Colgate-Palmolive Company","Consumer Non-Durables","Package Goods/Cosmetics","$66.94B",66940000000.00,66.94,"http://www.nasdaq.com/symbol/cl",2012,"US1941621039","B",239524.00,427057.00,666581.00,9.95,"Response Status: AQ*; PB Estimated"
"NYSE","CL","Colgate-Palmolive Company","Consumer Non-Durables","Package Goods/Cosmetics","$66.94B",66940000000.00,66.94,"http://www.nasdaq.com/symbol/cl",2013,"US1941621039","B",232574.00,435061.00,667635.00,9.97,"Response Status: AQ*; PB Estimated"
"NYSE","CMI","Cummins Inc.","Energy","Industrial Machinery/Components","$28.93B",28930000000.00,28.93,"http://www.nasdaq.com/symbol/cmi",2013,"US2310211063","B",232052.00,409890.00,641942.00,22.18,"Response Status: AQ*"
"NYSE","COF","Capital One Financial Corporation","Finance","Major Banks","$41.29B",41290000000.00,41.29,"http://www.nasdaq.com/symbol/cof",2011,"US14040H1059","D",14896.00,204719.00,219615.00,5.31,"Response Status: AQ*"
